"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"85","Alternative","Yeah Yeah Yeahs","Zero","5mfA2CBzQeGiTk9wFItCsS",44,0.00125,0.504,265787,0.938,0.227,"B",0.257,-4.039,"Major",0.115,123.994,"4/4",0.2
"86","Alternative","Pearl Jam","Rearviewmirror (Remastered)","5XtyytAig4m3HkO2XXaL9l",54,0.00146,0.373,283467,0.961,0.000374,"B",0.351,-5.387,"Minor",0.0657,158.863,"4/4",0.437
"87","Alternative","All That Remains","This Calling","2vH5Fy44mcCDUrUk0XbvfH",50,1.1e-05,0.542,218533,0.986,0.000798,"D",0.313,-2.663,"Minor",0.0968,108.059,"4/4",0.265
"88","Alternative","La Ley","El Duelo (feat. Ely Guerra)","1BH4LMGVMLBGc9uEJdm8D8",60,0.255,0.34,328907,0.445,0.000325,"E",0.694,-7.926,"Minor",0.0305,112.532,"4/4",0.17
"89","Alternative","My Darkest Days","Casual Sex","4akbPW1whJ6VDvXYeTA3vX",52,0.0108,0.669,193573,0.916,0,"B",0.652,-4.228,"Minor",0.0488,116.06,"4/4",0.862
"90","Alternative","GZA","4th Chamber","4qfUlchVD7WM4JhA5xio6m",52,0.032,0.557,276968,0.453,0.000854,"B",0.104,-6.237,"Major",0.218,179.23,"4/4",0.0393
"91","Alternative","Inspector","Es Por Ti","3UYYwbchCP47jl2Q9tAhMc",61,0.0152,0.619,215680,0.924,1.59e-06,"B",0.284,-4.908,"Major",0.075,173.924,"4/4",0.801
"92","Alternative","Three Days Grace","Nothing To Lose But You","44C6wc0keSwxyQkQI7N7SU",50,8.37e-05,0.585,172280,0.811,0,"F#",0.137,-5.116,"Minor",0.033,134.084,"4/4",0.647
"93","Alternative","Nickelback","Dirty Laundry","1lVn8EyfxGPhybJTiDTPzV",49,0.000361,0.618,240704,0.956,6.74e-05,"B",0.349,-3.297,"Minor",0.0496,97.993,"4/4",0.487
"94","Alternative","Mon Laferte","El Beso","3eiXtKo5PAWArBDAw1gkhI",56,0.254,0.732,178640,0.84,1.69e-05,"E",0.187,-7.07,"Minor",0.115,102.993,"4/4",0.717
"95","Alternative","Breaking Benjamin","Close Your Eyes","0UppcuBB46s0rTeLpf5Moy",49,4.47e-05,0.516,241347,0.966,0,"G#",0.302,-3.223,"Major",0.0765,116.993,"4/4",0.414
"96","Alternative","Beastie Boys","Intergalactic - Remastered","5fpizYGbi5IQoEraj6FP0R",66,0.022,0.734,231493,0.864,9.94e-06,"D",0.246,-6.119,"Major",0.303,105.933,"4/4",0.47
"97","Alternative","Yeah Yeah Yeahs","Heads Will Roll - A-Trak Remix Radio Edit","0vBpyfpW2lARGh3AZFtWRi",51,0.0172,0.705,203920,0.807,0.0392,"G#",0.232,-3.157,"Minor",0.0845,132.025,"4/4",0.88
"98","Alternative","TobyMac","This Is Not A Test","4IdYw0bPYfYLAeqLIg3mjL",41,4.99e-05,0.583,159906,0.911,0.574,"D",0.371,-2.941,"Minor",0.0441,130.047,"4/4",0.614
"99","Alternative","Masego","Sego Hotline feat. Krs.","0JwG03lkrLmyd0XavtkCVw",43,0.381,0.843,224040,0.384,0.000491,"A",0.321,-11.385,"Minor",0.254,112.975,"4/4",0.324
"100","Alternative","The Revivalists","Otherside Of Paradise","0H24AD2xn4Nh2fysnZiqRl",45,0.443,0.431,237147,0.478,0,"G",0.111,-8.274,"Minor",0.0318,124.335,"4/4",0.159
"101","Alternative","Violent Femmes","Gone Daddy Gone","2z8MYvOr9kJw5O5bKY2rhD",48,0.447,0.572,186267,0.55,0.00335,"A#",0.116,-17.993,"Major",0.0384,77.698,"4/4",0.892
"102","Alternative","Billy Lemos","12:34 AM","07HYEJfLR6CrvKeLpfrA7r",49,0.656,0.711,127000,0.473,0.0666,"C#",0.119,-11.971,"Major",0.116,90.001,"4/4",0.32
"103","Alternative","Gorillaz","Double Bass","2SesWUNxh3idu7A2y2iY0H",38,0.0613,0.699,286933,0.553,0.819,"G#",0.13,-10.546,"Major",0.109,164.847,"4/4",0.569
"104","Alternative","Jet Black Stare","I'm Breathing","7frIRhmEchPNoXn3FOVEQ9",46,0.000103,0.385,232387,0.845,1.26e-06,"C#",0.151,-3.187,"Minor",0.0426,172.169,"4/4",0.547
"105","Alternative","Veruca Salt","Volcano Girls","3cMliO9emUSa4d1Ap2MbfW",50,0.00135,0.543,198763,0.953,0,"E",0.404,-2.712,"Major",0.0414,131.425,"4/4",0.589
"106","Alternative","Chevelle","Don't Fake This","2Bcvh4zypRuH0cCTQzuV6B",39,0.00168,0.498,219067,0.901,0.0111,"C#",0.0375,-3.7,"Major",0.0485,98.592,"4/4",0.392
"107","Alternative","Lifehouse","Everything","5UJQ0Ht5Oh1O68pAXNbUk1",50,0.102,0.307,367160,0.407,0.0571,"A",0.103,-8.25,"Major",0.028,90.255,"4/4",0.0433
"108","Alternative","Shinedown","Adrenaline","5oJrV0mGkw9dilk96X3W0c",51,5.17e-05,0.467,206227,0.986,9.21e-05,"A",0.291,-2.69,"Major",0.0634,159.935,"4/4",0.4
"109","Alternative","Limp Bizkit","Take A Look Around","2avKuMN2QXkaG9vvHa2JLt",68,0.0201,0.479,321040,0.861,0.314,"D#",0.0862,-5.659,"Minor",0.0458,101.92,"4/4",0.556
"110","Alternative","Kiana Ledé","Controlla X Too Good","42vJ04V6KL5YewBBODA1Vw",42,0.934,0.616,111316,0.206,4.63e-06,"G",0.0812,-8.921,"Major",0.0413,44.194,"4/4",0.497
"111","Alternative","Monsieur Periné","Sabor a Mi","6Ghqj5i94yxy3uSAnpQljL",53,0.355,0.691,197480,0.65,0.0801,"E",0.194,-10.967,"Minor",0.0686,106.057,"4/4",0.519
"112","Alternative","Nirvana","About A Girl","55yvzYuvJYG2RUEnMK78tr",64,1.87e-05,0.409,166640,0.932,1.6e-06,"B",0.31,-4.538,"Minor",0.0339,131.761,"4/4",0.591
"113","Alternative","Beastie Boys","Pass The Mic - 2009 Digital Remaster","4eIfmbGZy21bvnBLHSf7DE",43,0.0692,0.622,256524,0.885,0,"G",0.211,-6.262,"Major",0.241,168.142,"4/4",0.558
"114","Alternative","Peaches","Fuck the Pain Away","1XHFob24QklIXtLRopKirJ",50,0.0354,0.905,250693,0.945,0.00529,"E",0.0707,-2.63,"Major",0.137,131.597,"4/4",0.944
"115","Alternative","Alice In Chains","Dirt","2QjkH9q5Mypj6m38u7Ni9o",46,0.00325,0.259,316533,0.928,4.86e-06,"C#",0.13,-5.9,"Major",0.0739,112.268,"4/4",0.246
"116","Alternative","Blood Orange","Take It Back","7y8jt3N6UEUkglhuhtbN5x",55,0.353,0.805,262993,0.395,6.02e-06,"C",0.141,-12.161,"Major",0.151,133.061,"4/4",0.21
"117","Alternative","Alanis Morissette","You Oughta Know","0Dw9z44gXhplDh5HCWZIxP",52,0.204,0.66,249200,0.831,0,"E",0.736,-8.195,"Major",0.0557,105.32,"4/4",0.43
"118","Alternative","Rise Against","Re-Education (Through Labor)","6xLlFIY9nuri5BR0Cp84ea",52,0.000442,0.25,222453,0.947,1.41e-05,"B",0.122,-3.354,"Major",0.0968,147.253,"4/4",0.321
"119","Alternative","Primus","Too Many Puppies","30dxVfMjlhBY6fXo3ThhJM",48,0.0325,0.494,236827,0.918,6.2e-05,"D",0.152,-5.092,"Major",0.13,159.632,"4/4",0.618
"120","Alternative","Orishas","Represent","0re10AzjmdBlQqqaCDKxUQ",39,0.165,0.869,226800,0.641,4.3e-06,"F#",0.208,-7.86,"Major",0.0629,95.212,"4/4",0.928
"121","Alternative","Nirvana","On A Plain","651koV4RRMMX6NDbW1ElwP",49,0.000195,0.413,194427,0.945,3.57e-06,"D",0.16,-4.716,"Major",0.103,133.379,"4/4",0.369
"122","Alternative","Rise Against","Give It All","6TTBhxnb9NYT7cz6aLOkBy",53,0.000371,0.582,170893,0.942,0.004,"D",0.078,-3.098,"Major",0.0637,103.057,"4/4",0.357
"123","Alternative","Generationals","Deadbeat Shiver","71yAxoEVXme0oo8SnuD0vB",23,0.0322,0.774,210160,0.697,0.0206,"C",0.127,-6.341,"Major",0.0288,122.976,"4/4",0.857
"124","Alternative","The Knocks","Brazilian Soul (feat. Sofi Tukker)","6rKq8Ri90B3UGEiWuN9e2I",52,0.0573,0.653,197373,0.68,2.28e-06,"C#",0.0683,-5.351,"Major",0.0885,99.023,"4/4",0.541
"125","Alternative","Three Days Grace","World so Cold","0LPx8WfsRrXCF92YtINFtN",57,0.00858,0.481,243000,0.82,0,"G#",0.0756,-3.508,"Major",0.031,139.936,"4/4",0.345
"126","Alternative","Skillet","The Last Night","37CMjUAU8fL6YqZVTplZqZ",51,0.0253,0.358,210787,0.856,0,"D",0.233,-2.934,"Major",0.0471,169.81,"4/4",0.542
"127","Alternative","Generationals","A List of the Virtues","5EQ1FLdGuTuBGmHxeXP4VM",25,0.109,0.786,239267,0.686,0.0102,"A",0.0924,-5.701,"Major",0.0291,115.539,"4/4",0.97
"128","Alternative","Breaking Benjamin","Breath","4JXfNOePhdgMOI7KZ1L25U",57,0.00014,0.351,218467,0.869,0.000206,"F",0.0886,-4.035,"Minor",0.0509,182.811,"4/4",0.355
"129","Alternative","Total Giovanni","Human Animal","0Y32bFZRwPu3QOjjDYdgTy",50,0.00504,0.755,356482,0.852,0.0154,"G",0.876,-5.965,"Major",0.0464,113.99,"4/4",0.56
"130","Alternative","Machine Head","Davidian","3qHlBxD3acw5nrl7Padt0v",55,0.000535,0.278,296627,0.937,0.118,"G",0.227,-6.952,"Major",0.168,154.244,"3/4",0.29
"131","Alternative","Radiohead","How To Disappear Completely","69pwmeyvQMuHMtkCmpEWhQ",55,0.315,0.168,356333,0.302,0.79,"F#",0.11,-11.645,"Minor",0.0344,102.041,"4/4",0.205
"132","Alternative","Smoke Dza","Substance Abuse","6K0LB4XItoRSkKZSkVTS4d",49,0.212,0.725,212245,0.627,4.27e-06,"D",0.181,-8.275,"Major",0.344,90.51,"4/4",0.576
"133","Alternative","KAYTRANADA","LEAVE ME ALONE","4YcHuaXJb6dnGWkJzmCcwu",49,0.122,0.792,277960,0.478,0.00157,"F#",0.519,-10.626,"Major",0.434,119.979,"4/4",0.134
